Date,thermD,MLD,SW,AirT,Prec(mm),relhum,Wdir,Wspeed(m/s),CC,Inflow,W,delT,Ice_d,day_from_iceoff
1992-07-25,-7.3544,-36.8,292.2797852,21.225,0.0,51.177860506513305,218.0,1.304166666666667,33.666666666666664,2.81777,0.0001643102479537048,0.008328169584274292,87,55.0
1992-07-26,-5.6631,-36.8,245.4313202,22.40833333333333,0.5,47.72910909270264,0.0,1.4916666666666665,58.66666666666666,2.67665,0.004714228561761132,-0.012421250343322754,87,56.0
1992-07-27,-6.2593,-36.8,242.4902954,18.129166666666663,19.8,66.92637642685938,0.0,2.6124999999999994,66.66666666666667,2.67121,0.004069833673153575,-0.012928292155265808,87,57.0
1992-07-28,-7.411,-36.8,31.96697807,14.1,29.5,88.04747056920401,330.0,3.384210526315789,96.0,8.75685,0.030449552375202426,-0.01982538402080536,87,58.0
1992-07-29,-8.4682,-36.8,265.9343872,17.779166666666665,0.0,49.2620584728691,0.0,2.4708333333333337,25.33333333333333,16.8826,0.012642405888260608,-0.025383472442626953,87,59.0
1992-07-30,-8.8881,-36.8,121.0478973,17.558333333333334,0.0,70.46810191294125,221.0,2.045833333333334,87.66666666666667,10.4208,0.0008001248590107665,0.005483180284500122,87,60.0
1992-07-31,-9.1155,-36.8,289.4062805,17.566666666666666,0.0,59.00485223763455,0.0,2.0416666666666665,21.0,7.41552,0.0027758635795994196,0.03714817762374878,87,61.0
1992-08-01,-9.2046,-36.8,285.8138733,17.5625,0.0,49.81116367028201,0.0,1.1833333333333336,33.666666666666664,5.94947,0.0007449273035382292,-0.0038259029388427734,87,62.0
1992-08-02,-9.405,-36.8,209.4204712,18.53333333333333,6.2,69.22512289332784,149.0,1.3749999999999998,75.33333333333333,5.17221,0.0008096778475579587,-0.0006226301193237305,87,63.0
1992-08-03,-9.479,-36.8,219.3712158,18.775,1.3,71.0266178401109,218.0,2.1166666666666667,29.33333333333333,6.48287,0.000902047347768561,0.0006122589111328125,87,64.0
1992-08-04,-9.0417,-36.8,228.721817,18.5,0.3,66.47326635480742,221.0,2.754166666666667,50.333333333333336,5.72327,0.0006499493829425604,0.0005906224250793457,87,65.0
1992-08-05,-9.9435,-36.8,200.1985931,17.333333333333332,0.1,66.52054508321378,247.0,3.929166666666666,46.0,5.06246,0.0,0.0018051862716674805,87,66.0
1992-08-06,-10.6695,-36.8,155.2976532,17.783333333333335,13.3,76.38893281283227,229.0,3.316666666666666,58.66666666666666,4.61312,0.0016541251004763189,-0.0034356117248535156,87,67.0
1992-08-07,-11.1474,-36.8,274.7377319,17.945833333333336,0.0,54.81945887990168,0.0,2.9041666666666672,21.0,8.28606,0.0013337138072722474,0.006757378578186035,87,68.0
1992-08-08,-11.2078,-36.8,277.074646,17.82083333333333,0.0,50.15212357273181,0.0,1.5666666666666669,13.0,6.28436,0.00033196841575096293,-0.003741741180419922,87,69.0
1992-08-09,-11.3452,-36.8,156.5382233,17.625,1.7,59.88327329626453,0.0,0.8500000000000001,71.0,5.27207,0.0008166557721272537,0.0054204463958740234,87,70.0
1992-08-10,-11.4116,-36.8,255.8299255,22.250000000000004,0.0,66.07655354867987,133.0,1.4416666666666669,92.0,5.13068,0.0024501135992660602,-0.0032542943954467773,87,71.0
1992-08-11,-11.4328,-36.8,110.5287323,19.575,2.7,83.08477101677364,0.0,1.9791666666666667,83.66666666666667,4.59047,0.024226982741819995,-0.021831274032592773,87,72.0
1992-08-12,-11.4374,-36.8,226.4824829,17.2125,0.3,63.28972601870221,257.0,3.191666666666668,71.0,4.92085,0.06585967214236334,-0.04876255989074707,87,73.0
1992-08-13,-9.7013,-36.8,64.52857971,16.812500000000004,5.7,83.69908184678778,0.0,1.2041666666666668,92.0,4.45485,0.033082103802000946,-0.024543404579162598,87,74.0
1992-08-14,-10.1735,-36.8,175.0345917,15.90416666666667,0.0,80.81613087231943,0.0,1.1999999999999995,62.66666666666666,5.58954,0.0030968962756439218,-0.01788949966430664,87,75.0
1992-08-15,-10.5036,-36.8,211.0158844,16.020833333333332,0.5,81.74039939602882,0.0,0.7041666666666666,67.0,4.68875,0.0013482329079518517,0.006679177284240723,87,76.0
1992-08-16,-10.8663,-36.8,212.7805176,16.729166666666668,0.0,71.73768494063094,239.0,2.0291666666666672,58.66666666666666,4.30905,0.0006127182621744682,0.00556182861328125,87,77.0
1992-08-17,-11.054,-36.8,61.52635574,16.195833333333336,0.1,75.69686990462957,159.0,1.6083333333333334,96.0,3.9329,0.0008244144423531644,-0.0027294158935546875,87,78.0
1992-08-18,-10.2421,-36.8,132.769928,14.09166666666666,3.4,89.5542293142702,258.0,2.0875,92.0,3.69449,0.0015279894987559302,0.018329858779907227,87,79.0
1992-08-19,-10.7189,-36.8,174.6413727,14.383333333333333,0.0,85.1766875943456,356.0,1.479166666666667,75.33333333333333,4.33601,0.0015976353220518587,0.0184173583984375,87,80.0
1992-08-20,-11.1206,-36.8,207.9957123,15.329166666666673,0.0,64.73297468817366,0.0,1.2083333333333333,37.66666666666666,3.7957,0.0,-0.003499269485473633,87,81.0
1992-08-21,-11.3006,-36.8,150.6166229,13.670833333333333,0.0,71.74707039174095,0.0,1.3916666666666666,75.0,3.46657,0.002671501504364225,-0.006467580795288086,87,82.0
1992-08-22,-11.4648,-36.8,89.44903564,13.670833333333334,0.0,85.31208619818125,0.0,1.2500000000000002,100.0,3.23535,0.00491719740357752,-0.005002260208129883,87,83.0
1992-08-23,-10.2102,-36.8,141.1202393,16.075,7.5,80.13619238372605,129.0,1.6166666666666665,91.66666666666669,3.05162,0.0010156782291590033,0.0008585453033447266,87,84.0
1992-08-24,-10.6634,-36.8,151.457962,14.629166666666665,2.4,73.34579793053462,220.0,2.0083333333333333,62.66666666666666,4.94818,0.0014316579836382236,0.0037877559661865234,87,85.0
1992-08-25,-10.7666,-36.8,190.1409607,13.39583333333333,0.2,73.59996102002307,0.0,1.4958333333333331,79.33333333333333,4.53457,0.002921191008515256,0.004383087158203125,87,86.0
1992-08-26,-11.2215,-36.8,106.2709579,13.091666666666669,0.7,83.79594675294159,0.0,1.0416666666666663,67.0,3.80382,0.000857177249784543,0.006041765213012695,87,87.0
1992-08-27,-10.7925,-36.8,104.3883133,14.2125,3.3,79.08387027708585,226.0,1.4041666666666666,83.66666666666667,3.52915,0.008538475726940865,-0.0008809566497802734,87,88.0
