Date	thermD	MLD	SW	AirT	Prec(mm)	relhum	Wdir	Wspeed(m/s)	CC	Inflow	W	delT	Ice_d	day_from_iceoff	MM
2004-08-10	-0.55		265.9061584	21.45	0.0	65.80266948492343	0.0	1.1416666666666668	46.0	2.2279	0.03990240367215563	0.0001557059586048	71	71.0	8
2004-08-11	-0.55		244.9268951	22.64583333333334	0.0	54.50654535980013	311.0	1.5833333333333333	33.666666666666664	2.00406	0.05207600382516434	0.0005408227443695	71	72.0	8
2004-08-12	-23.5371		211.9111328	18.566666666666663	0.6	63.122182441334886	0.0	1.4625	75.33333333333333	1.85622	0.021303724962188998	0.0015242137014865	71	73.0	8
2004-08-13	-26.823		110.2535324	15.075	1.5	69.40294477257407	0.0	1.4833333333333334	66.66666666666667	1.89485	0.08804735056476375	0.0013707727193832	71	74.0	8
2004-08-14	-25.7368		219.7086029	14.691666666666668	1.5	71.11744960152514	141.0	1.2625000000000002	63.0	2.11546	0.08761596119484273	0.0033161640167236	71	75.0	8
2004-08-15	-28.5987		255.8045502	17.104166666666668	0.1	68.48701700134389	315.0	1.3541666666666667	66.66666666666667	2.22493	0.013933640367880584	-0.0013415217399597	71	76.0	8
2004-08-16	-0.55		153.353302	15.578260869565218	0.0	62.57922721057469	21.0	1.291304347826087	79.33333333333333	1.93349	0.13363769434957698	0.0058913230895996	71	77.0	8
2004-08-17	-0.55		116.3034058	16.9	5.4	76.72777633686701	0.0	0.925	92.0	1.73877	0.05105921952780996	0.0026314258575439	71	78.0	8
2004-08-18	-1.071		172.2369385	15.945833333333333	0.0	86.31908632596745	132.0	1.1875	92.0	3.02972	0.05753268406630495	0.004892885684967	71	79.0	8
2004-08-19	-4.0052		103.1269455	17.0875	5.0	95.5019031000014	183.0	2.0375	75.33333333333333	2.33904	0.12292065678604784	0.022807240486145	71	80.0	8
2004-08-20	-4.5369		200.0456848	18.6375	0.0	73.03199942860752	237.0	3.1208333333333336	50.333333333333336	3.29575	0.2060401894417433	0.0034359693527221	71	81.0	8
